pos_date,pos_hour,date_hour,shop_nm,sales_amt,prom_yn
20170613,16,2017061316,A,2867.0,N
20170614,19,2017061419,B,1654.0,N
20170614,19,2017061419,A,2206.0,N
20170615,21,2017061521,A,1875.0,N
20170615,21,2017061521,B,1764.0,N
20170615,12,2017061512,B,882.0,N
20170616,15,2017061615,A,2052.0,N
20170616,15,2017061615,B,1596.0,N
20170617,18,2017061718,B,1795.0,N
20170617,18,2017061718,A,2451.0,N
20170618,20,2017061820,B,1875.0,N
20170618,11,2017061811,A,220.0,N
20170618,11,2017061811,B,551.0,N
20170618,20,2017061820,A,2757.0,N
20170619,14,2017061914,A,2316.0,N
20170619,14,2017061914,B,2206.0,N
20170620,10,2017062010,A,551.0,N
20170621,22,2017062122,A,3088.0,N
20170621,13,2017062113,B,3198.0,N
20170621,22,2017062122,B,2316.0,N
20170621,13,2017062113,A,2316.0,N
20170622,16,2017062216,B,2647.0,N
20170622,16,2017062216,A,3198.0,N
20170623,19,2017062319,B,3198.0,N
20170623,19,2017062319,A,2095.0,N
20170624,12,2017062412,A,772.0,N
20170624,12,2017062412,B,992.0,N
20170624,21,2017062421,A,2536.0,N
20170624,21,2017062421,B,2206.0,N
20170625,15,2017062515,A,2536.0,Y
20170625,15,2017062515,B,1985.0,Y
20170626,18,2017062618,A,1433.0,Y
20170626,18,2017062618,B,2206.0,Y
20170627,20,2017062720,B,2647.0,Y
20170627,20,2017062720,A,2536.0,Y
20170628,14,2017062814,A,2757.0,Y
20170628,14,2017062814,B,2316.0,Y
20170629,17,2017062917,B,2316.0,Y
20170629,17,2017062917,A,5073.0,Y
20170630,22,2017063022,B,2206.0,Y
20170630,22,2017063022,A,4522.0,Y
20170630,13,2017063013,B,1985.0,Y
20170602,10,2017060210,B,551.0,N
20170615,12,2017061512,A,0.0,N
20170627,11,2017062711,B,330.0,Y
20170627,11,2017062711,A,330.0,Y
20170630,13,2017063013,A,1213.0,Y
20170611,10,2017061110,A,330.0,N
20170620,10,2017062010,B,110.0,N
20170609,11,2017060911,B,220.0,N
20170601,18,2017060118,B,2647.0,N
20170601,18,2017060118,A,2536.0,N
20170602,20,2017060220,B,2757.0,N
20170602,20,2017060220,A,2647.0,N
20170602,11,2017060211,A,330.0,N
20170602,11,2017060211,B,1213.0,N
20170603,14,2017060314,A,3088.0,N
20170603,14,2017060314,B,1213.0,N
20170604,17,2017060417,A,3309.0,N
20170604,17,2017060417,B,2316.0,N
20170606,13,2017060613,A,2095.0,N
20170606,22,2017060622,A,1213.0,N
20170606,13,2017060613,B,1323.0,N
20170607,16,2017060716,A,3088.0,N
20170607,16,2017060716,B,1323.0,N
20170608,19,2017060819,A,2206.0,N
20170608,19,2017060819,B,2206.0,N
20170609,21,2017060921,A,2426.0,N
20170609,12,2017060912,A,772.0,N
20170609,21,2017060921,B,3309.0,N
20170609,12,2017060912,B,1323.0,N
20170610,18,2017061018,A,2206.0,N
20170610,18,2017061018,B,3309.0,N
20170611,20,2017061120,B,2316.0,N
20170611,11,2017061111,A,992.0,N
20170611,20,2017061120,A,1985.0,N
20170611,11,2017061111,B,772.0,N
20170612,14,2017061214,B,1433.0,N
20170612,14,2017061214,A,1544.0,N
20170613,17,2017061317,B,1544.0,N
20170613,17,2017061317,A,3198.0,N
20170614,10,2017061410,B,441.0,N
20170615,22,2017061522,B,1323.0,N
20170615,13,2017061513,A,882.0,N
20170615,13,2017061513,B,1654.0,N
20170615,22,2017061522,A,1764.0,N
20170616,16,2017061616,A,1767.0,N
20170616,16,2017061616,B,5294.0,N
20170617,19,2017061719,B,1966.0,N
20170617,19,2017061719,A,2736.0,N
20170618,21,2017061821,B,1985.0,N
20170618,12,2017061812,B,1875.0,N
20170618,12,2017061812,A,551.0,N
20170618,21,2017061821,A,2647.0,N
20170619,15,2017061915,A,2316.0,N
20170620,20,2017062020,A,4301.0,N
20170620,11,2017062011,B,551.0,N
20170620,11,2017062011,A,441.0,N
20170620,20,2017062020,B,2316.0,N
20170621,14,2017062114,A,1985.0,N
20170621,14,2017062114,B,2867.0,N
20170622,17,2017062217,A,3860.0,N
20170622,17,2017062217,B,2095.0,N
20170624,13,2017062413,B,2536.0,N
20170624,13,2017062413,A,1544.0,N
20170624,22,2017062422,A,1654.0,N
20170625,16,2017062516,A,2316.0,Y
20170626,19,2017062619,A,3088.0,Y
20170626,19,2017062619,B,1875.0,Y
20170627,12,2017062712,B,772.0,Y
20170627,21,2017062721,B,1985.0,Y
20170627,21,2017062721,A,2757.0,Y
